week_start,week_end,is_partial_week,state_code,product,measurement_unit,average_price,median_price,minimum_price,maximum_price,price_observations,station_count
2026-01-12,2026-01-18,False,AM,GASOLINA,R$ / litro,7.148,6.99,6.77,8.29,55,55
2026-01-12,2026-01-18,False,AM,GASOLINA ADITIVADA,R$ / litro,7.192,6.99,6.77,8.39,48,48
2026-01-12,2026-01-18,False,AM,GNV,R$ / m³,3.99,3.99,3.99,3.99,1,1
2026-01-12,2026-01-18,False,BA,DIESEL,R$ / litro,6.13,6.09,5.59,6.9,127,127
2026-01-12,2026-01-18,False,BA,DIESEL S10,R$ / litro,6.213,6.19,5.69,6.95,156,156
2026-01-12,2026-01-18,False,BA,ETANOL,R$ / litro,4.993,4.99,4.35,5.89,184,184
2026-01-12,2026-01-18,False,BA,GASOLINA,R$ / litro,6.518,6.57,5.93,6.99,211,211
2026-01-12,2026-01-18,False,BA,GASOLINA ADITIVADA,R$ / litro,6.632,6.69,5.93,7.67,152,152
2026-01-12,2026-01-18,False,BA,GNV,R$ / m³,4.475,4.38,3.99,5.79,11,11
2026-01-12,2026-01-18,False,CE,DIESEL,R$ / litro,6.185,6.19,5.86,6.55,21,21
2026-01-12,2026-01-18,False,CE,DIESEL S10,R$ / litro,6.089,6.05,5.55,6.79,122,122
2026-01-12,2026-01-18,False,CE,ETANOL,R$ / litro,5.008,4.99,4.35,5.88,115,115
